site,id,year,api_ok,n_det,n_person,n_vehicle,n_sidewalk,n_road,n_vegetation,n_marking,n_sign
Westheimer Road,216104750064836,2018,True,0,0,0,0,0,0,0,0
Westheimer Road,529130558113876,2018,True,0,0,0,0,0,0,0,0
Westheimer Road,1608046256052713,2018,True,0,0,0,0,0,0,0,0
Westheimer Road,4014365508602145,2018,True,0,0,0,0,0,0,0,0
Westheimer Road,1156479688495848,2018,True,0,0,0,0,0,0,0,0
Westheimer Road,519338705894855,2018,True,0,0,0,0,0,0,0,0
Westheimer Road,908517333330475,2018,True,0,0,0,0,0,0,0,0
Westheimer Road,320689292791544,2018,True,0,0,0,0,0,0,0,0
Westheimer Road,321014356129134,2018,True,0,0,0,0,0,0,0,0
Westheimer Road,950277162486930,2018,True,0,0,0,0,0,0,0,0
Westheimer Road,266462835260651,2018,True,0,0,0,0,0,0,0,0
Westheimer Road,993231721081496,2018,True,0,0,0,0,0,0,0,0
Westheimer Road,537635487258872,2018,True,0,0,0,0,0,0,0,0
Westheimer Road,1588962114643175,2018,True,0,0,0,0,0,0,0,0
Westheimer Road,249976896881298,2018,True,0,0,0,0,0,0,0,0
Westheimer Road,343108907232433,2018,True,0,0,0,0,0,0,0,0
Westheimer Road,214367417162157,2018,True,0,0,0,0,0,0,0,0
Westheimer Road,568283040822710,2018,True,0,0,0,0,0,0,0,0
Westheimer Road,826179691334272,2018,True,0,0,0,0,0,0,0,0
Westheimer Road,283443246845432,2018,True,0,0,0,0,0,0,0,0
Westheimer Road,386090352629993,2018,True,0,0,0,0,0,0,0,0
Westheimer Road,2800133716965922,2018,True,0,0,0,0,0,0,0,0
Westheimer Road,804241623538675,2018,True,0,0,0,0,0,0,0,0
Bay Area Boulevard,690315170541348,2025,True,223,1,6,0,18,19,0,1
Bay Area Boulevard,882688197420534,2025,True,233,1,13,0,23,13,0,1
Bay Area Boulevard,773215062445338,2025,True,241,1,10,0,26,16,0,0
Bay Area Boulevard,1742091179789121,2025,True,199,1,13,0,14,21,0,0
Bay Area Boulevard,1018012337173735,2025,True,212,1,10,0,13,19,0,0
Bay Area Boulevard,1378051753667451,2025,True,227,1,10,2,12,16,0,0
Bay Area Boulevard,1630565274989314,2025,True,224,2,13,7,5,20,0,0
