year,KSI,Goal (zero by 2030)
2016,900,
2017,821,
2018,807,
2019,972,972
2020,914,884
2021,1095,795
2022,1016,707
2023,1036,619
2024,1028,530
2025,949,442
2026,,353
2027,,265
2028,,177
2029,,88
2030,,0
